label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,a1_1,a1_2,a1_3,a1_4,a1_5,a1_6,a1_7,a2_1,a2_2,a2_3,a2_4,a2_5,a2_6,a2_7,a3_1,a3_2,a3_3,a3_4,a3_5,a3_6,a3_7,a4_1,a4_2,a4_3,a4_4,a4_5,a4_6,a4_7,a5_1,a5_2,a5_3,a5_4,a5_5,a5_6,a5_7,a6_1,a6_2,a6_3,a6_4,a6_5,a6_6,a7_1,a7_2,a7_3,a7_4,a7_5,a7_6,a7_7,blank,blank_20230211062120,blank_20230210235538,blank_20230211124652,blank_20230210173002,blank_20230210110423,y1_1,y1_2,y1_3,y1_4,y1_5,y1_6,y1_7,y2_1,y2_2,y2_3,y2_4,y2_5,y2_6,y2_7,y3_1,y3_2,y3_3,y3_4,y3_5,y3_6,y3_7,y4_1,y4_2,y4_3,y4_4,y4_5,y4_6,y4_7,y5_1,y5_2,y5_3,y5_4,y5_5,y5_6,y5_7
g,2,2,0,161.044922,7.036,0.580879,[M-H]-,,Levoglucosan,Levoglucosan,C6H10O5,0.456,3.884680,161.044922,77169.10,44488.25,61561.20,65048.11,87099.13,68012.20,74046.09,59931.49,45351.81,69620.04,80010.98,80630.38,66131.17,63787.90,68455.70,75559.62,87552.04,45217.06,62815.45,55876.19,76298.34,98877.71,50123.56,93194.84,75548.84,85992.43,72806.80,23324.38,55633.43,69259.72,71969.15,82192.66,88020.52,69433.62,71698.88,54071.77,69609.70,78386.40,64852.73,70712.23,68308.48,38457.25,69665.79,79719.62,73724.53,61895.70,65461.52,47587.19,17376.26,17319.28,19376.20,17124.78,22701.56,19135.00,61603.33,34705.30,69328.65,57092.11,55446.86,66441.01,55969.59,86092.72,50604.50,107815.41,68144.22,71107.96,67566.97,75056.26,64855.46,40246.52,64126.89,67550.84,53936.11,156173.77,70360.34,63317.78,37582.42,65551.41,86082.52,62059.06,66587.53,61864.89,64907.21,64123.53,77443.61,74653.00,75660.85,73139.62,91124.02
g,4,4,0,160.061005,13.456,0.541991,[M-H]-,,N-methyl-L-glutamic Acid,N-methyl-L-glutamic Acid,C6H11NO4,0.876,3.336577,160.061005,35306.90,14478.16,38270.77,30630.42,43612.39,35275.35,30192.27,29425.32,38750.41,28268.51,26685.34,40796.18,26574.21,27887.29,32413.79,37310.91,48164.22,11459.78,37094.36,25513.11,25734.28,42233.12,23471.95,75509.57,25032.67,85846.19,40036.61,3403.76,28978.36,27920.92,29187.79,18012.96,74980.30,30966.38,21244.99,15658.59,27387.53,17648.48,31522.11,25165.07,13024.91,12119.53,17347.09,29004.85,22486.30,23269.14,19324.46,15710.77,2015.71,790.28,1445.33,1614.72,1934.96,2370.63,45570.09,16250.91,54702.82,26896.13,50732.80,58820.86,22475.71,48125.93,16634.12,81935.30,31323.66,47177.93,37729.27,46705.67,37524.11,12020.78,37344.70,27377.76,38598.36,156660.45,39668.72,39160.75,15998.34,50294.39,32096.10,44212.08,80212.41,39415.21,27879.40,23657.47,40520.62,30505.92,44515.88,47841.74,60902.05
g,5,5,77,160.060928,13.448,0.826814,[M-H]-,,Aminoadipic acid,Aminoadipic acid,C6H11NO4,0.098,3.813231,160.060928,34565.73,13918.09,37338.10,29624.60,42751.07,34538.91,29795.62,28784.78,38016.91,27651.57,26276.87,40214.53,25968.67,27108.51,31667.46,36825.31,47485.34,11037.89,36803.37,24863.01,24973.03,41888.00,22875.92,74432.59,24685.73,85177.59,39530.30,3235.78,28530.26,27250.48,28501.27,17250.52,74115.18,30322.68,20732.67,15380.57,26519.94,16954.66,30841.09,24219.12,12396.42,11732.14,16854.07,28210.21,21954.44,22742.45,18764.72,15136.97,2227.53,1248.60,966.97,1639.40,1983.81,2953.61,44975.96,15774.80,53921.95,26030.24,50153.14,57854.77,22291.50,47445.36,16157.85,80667.45,30640.16,46511.64,37196.86,46150.46,36697.71,11380.90,37009.07,27119.37,38105.46,154992.52,39070.66,38773.39,15715.52,49894.11,31422.79,43569.80,79603.27,38945.09,27258.79,23367.84,39909.68,30203.92,44075.80,47323.20,60353.03
g,6,6,1,160.039841,3.639,0.772572,[M-H]-,,2-Indolecarboxylic acid,2-Indolecarboxylic acid,C9H7NO2,0.899,3.527704,160.039841,477236.75,322707.16,397791.09,371646.16,441574.38,484930.22,294094.81,352061.50,424927.91,275016.81,358250.16,579245.06,468183.78,352674.59,473575.34,395386.59,354902.84,205547.64,450298.72,469112.59,278096.25,654887.69,296766.12,754338.19,470732.75,991923.75,568285.38,52147.49,397829.38,428381.09,344564.62,297064.28,516824.00,329701.25,222399.00,233797.30,325432.38,310609.16,461357.84,482052.34,198612.38,268868.38,315507.09,221323.42,321541.78,325092.41,406819.00,160449.52,2610.12,2448.67,4325.40,3100.87,1613.64,3116.75,335557.22,212802.05,581947.94,310125.16,436458.09,604282.94,275549.22,480805.84,349480.75,595306.25,358081.38,508423.91,483884.22,441081.41,491452.00,213499.95,366791.84,256855.02,437929.09,643575.25,363315.66,300284.62,216594.67,394454.88,166068.14,325704.91,508709.25,341353.53,330948.12,365570.25,313973.53,252639.67,294573.66,384560.97,417372.91
g,7,7,10,160.039871,4.213,0.750488,[M-H]-,,Indole-3-carboxylic acid,Indole-3-carboxylic acid,C9H7NO2,0.187,3.337017,160.039871,1293692.12,796713.25,834218.94,877957.50,1277996.75,1127734.00,743581.75,899513.50,1084483.25,706473.00,934506.31,1514617.38,1093005.50,867958.00,1221944.38,901813.31,1178876.00,434827.09,1397016.62,1081946.38,538894.00,1931512.62,683159.06,2399937.75,1022386.81,2598356.25,1293422.62,121304.77,987711.69,1051368.00,722446.19,693884.19,1666521.12,920500.19,546764.19,577373.69,888154.81,744301.50,1574955.62,1202074.62,505107.38,538414.94,783092.31,19565.64,1059891.62,777321.25,932073.94,266853.09,75529.25,75921.78,72295.95,80977.93,66119.60,82913.13,747198.69,418877.09,1345940.88,592406.94,1058711.62,1269100.62,454026.75,1566328.12,581785.56,1815557.00,520657.78,955798.31,1302855.50,1140444.12,1224860.38,551006.81,1021994.56,574721.69,1112029.00,866993.75,780960.69,625068.38,560570.00,1189263.88,429838.66,782233.31,1488810.38,900898.69,655951.00,881666.69,946493.81,644382.75,1015075.75,988620.44,1280639.12
g,11,11,0,159.029282,11.660,0.602127,[M-H]-,,Oxoadipic acid,Oxoadipic acid,C6H8O5,0.740,3.837968,159.029282,28822.47,22184.98,33287.23,21542.89,36384.09,52050.11,24059.73,14336.85,46262.39,27357.31,21888.69,25151.09,34002.97,20164.41,15320.98,33092.86,23191.28,7481.57,35860.09,47367.81,11277.58,43341.91,12244.59,58501.06,19837.40,71925.33,31485.90,3514.87,29828.83,24468.27,25678.15,25328.56,73881.37,49871.56,13939.10,13730.31,24667.46,18155.12,44337.28,38526.43,14173.22,12803.67,18307.04,67891.27,21780.62,19040.27,21923.36,18573.03,1483.48,1422.58,1063.83,896.26,859.58,2276.82,68014.66,32469.62,73652.20,88018.51,124082.75,133883.94,35558.70,77490.39,28490.55,88719.00,32767.98,65503.95,41766.48,51217.65,35343.84,18857.74,34720.93,20408.99,56636.81,97749.46,41933.50,36246.12,26352.47,97191.66,194339.50,72480.88,152700.19,62648.82,29341.97,36779.86,42456.31,25740.79,47358.37,41571.75,65411.51
g,12,12,0,158.081726,7.025,0.530491,[M-H]-,,Isovalerylglycine,Isovalerylglycine,C7H13NO3,0.225,3.378353,158.081726,147811.48,67946.37,128892.38,122493.16,164749.94,157270.69,168530.25,120453.47,134562.19,149442.45,142483.27,155493.02,118448.12,114810.66,153180.02,137134.17,113367.46,73476.51,162898.12,158579.28,123922.54,135598.95,74627.02,132516.09,108909.90,108597.93,105663.12,43804.82,122203.25,131731.80,143748.81,100591.41,169857.70,128133.37,128856.30,88052.63,129059.98,120774.52,126989.41,105309.09,116194.97,61569.40,97751.19,168878.92,84262.94,106462.93,85299.41,71774.09,27494.13,28691.73,27903.22,33849.56,31121.33,24089.34,172877.11,79781.32,157869.50,238759.81,162945.89,158772.52,86884.37,160709.70,91560.44,213634.30,130255.99,135506.61,142656.45,153414.42,163773.17,92184.66,130775.25,114504.28,115118.84,203531.80,115702.84,221816.83,70919.83,134644.23,469565.59,124544.66,271089.28,165141.50,125132.72,120779.20,138764.47,135186.11,131977.41,125998.66,191668.25
g,16,16,83,164.071259,8.854,0.833604,[M-H]-,,L-Phenylalanine,L-Phenylalanine,C9H11NO2,0.194,2.697021,164.071259,1614708.62,1070585.88,1142281.00,1315740.00,1798685.88,1623370.62,1048810.00,1066517.12,1339276.88,974567.00,1353299.12,1618482.38,1308922.50,978790.69,1445672.00,1184730.62,1274119.88,573406.44,1481074.62,1382007.88,704373.00,782626.31,820620.06,1063252.12,528873.44,1201929.50,886201.31,242652.50,1249616.88,1091094.38,1082321.62,1103575.88,2105029.25,1341906.88,774922.00,1063036.38,1423018.00,1244150.50,1837282.38,1696675.50,730051.06,1194113.12,1077628.12,1822038.38,1285949.88,1429312.00,1706126.50,711501.50,1949.04,989.65,1944.55,563.93,775.04,2312.12,1274286.88,506119.03,1475487.00,1051535.50,1250676.38,1538339.38,666693.94,1679187.62,588566.94,1874553.88,1055530.50,1366296.12,1305771.12,1087671.75,1208058.12,523462.91,1030861.50,699526.81,1152067.38,4235662.00,1069118.38,1085162.62,555466.56,1151561.12,663706.81,1055077.12,2055525.38,1136963.25,812280.69,677057.56,991339.69,753366.69,1005534.81,937925.81,1315213.88
g,17,17,80,164.038101,13.127,0.849668,[M-H]-,,Methionine sulfoxide,Methionine sulfoxide,C5H11NO3S,0.147,3.627759,164.038101,78000.15,33117.00,48807.42,67833.88,83407.41,109751.20,32898.84,47087.89,69521.57,36991.17,69222.66,71399.59,81059.88,33314.53,71589.85,68721.13,78560.49,33224.18,77999.03,86643.60,19376.35,52280.82,62315.06,36830.44,32907.06,82192.12,63569.74,16007.55,71324.82,49225.61,48177.79,48634.78,122444.31,66512.17,23949.03,36978.58,29525.05,50436.05,72728.27,58955.67,14740.64,37870.54,42931.54,48272.46,52786.52,41835.73,61364.05,19483.10,0.00,0.00,314.23,203.07,376.43,210.17,100003.98,30773.47,80117.41,48395.91,64634.03,86067.03,30004.99,80493.29,23067.46,79301.10,80010.06,59416.63,73280.32,38637.91,54012.25,26173.97,58543.18,30010.96,41575.38,178813.56,37498.27,69198.82,28008.69,71600.27,63815.48,61071.89,141192.64,45256.63,43727.99,28755.37,53217.96,32744.01,48463.59,54113.14,48647.75
g,19,19,83,163.060608,8.920,0.840169,[M-H]-,,L-Fucose,L-Fucose,C6H12O5,0.140,3.649506,163.060608,2184699.75,709605.25,1583732.00,1810181.00,2148262.25,2064762.12,1919238.12,2027463.12,1694604.38,1735194.00,2041879.50,2177013.25,1842566.50,2193850.75,1824850.12,1967171.88,1620369.88,768879.50,1584732.00,1521464.12,1291824.62,1047758.50,984504.69,1432702.00,749961.81,1163650.38,1053954.25,62001.37,2007036.88,1482300.00,1860201.00,2126217.75,3096881.00,2093194.88,1758303.38,754748.81,1071874.38,1111843.62,1254952.00,1132092.25,811433.19,799672.31,738544.81,2501020.00,1176921.25,1159260.62,1128034.38,822447.06,1124.31,623.92,1259.88,468.84,1088.10,699.91,1308115.38,697742.81,1472946.38,1128682.88,1142860.88,1435482.00,857385.69,1254445.50,597963.81,1760576.00,1020942.94,1031923.00,1143612.12,1133673.12,1300282.88,474056.28,1101811.62,1038180.25,1001652.69,3052924.00,1181154.62,1005683.44,569851.44,882111.19,860347.81,794835.31,1463977.50,998994.19,702863.50,683013.56,916400.81,893986.00,896541.94,990987.56,1123964.62
