label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blank,blank_20230209092143,blank_20230209154725,blank_20230209221301,blank_20230209025603,blank_20230208200439,o1_1,o1_2,o1_3,o1_4,o1_5,o1_6,o1_7,o2_1,o2_2,o2_3,o2_4,o2_5,o2_6,o2_7,o3_1,o3_2,o3_3,o3_4,o3_5,o3_6,o3_7,o4_1,o4_2,o4_3,o4_4,o4_5,o4_6,o4_7,o5_1,o5_2,o5_3,o5_4,o5_5,o5_6,o5_7,w1_1,w1_2,w1_3,w1_4,w1_5,w1_6,w1_7,w2_1,w2_2,w2_3,w2_4,w2_5,w2_6,w2_7,w3_1,w3_2,w3_3,w3_4,w3_5,w3_6,w3_7,w4_1,w4_2,w4_3,w4_4,w4_5,w4_6,w4_7,w5_1,w5_2,w5_3,w5_4,w5_5,w5_6,w5_7
g,2,2,0,160.061157,13.464,0.618495,[M-H]-,,N-methyl-L-glutamic Acid,N-methyl-L-glutamic Acid,C6H11NO4,0.884,2.383269,160.061157,12726.30,2470.78,2267.03,1772.07,2345.29,3156.13,34597.82,20229.66,28505.05,4398.22,38612.23,26936.56,28680.97,42270.64,17415.98,31280.26,23297.91,50071.95,34761.05,31413.87,39246.60,30144.48,51246.61,18059.48,46632.94,38078.38,17592.98,52890.41,27690.99,35896.04,22071.84,57175.89,44317.30,17683.93,40082.52,20000.10,44321.92,21156.64,43509.39,33510.25,53148.39,69390.18,27942.58,63642.07,31679.13,48108.75,50900.18,39503.02,97174.12,23771.31,131394.73,58801.51,41239.18,90040.84,51908.86,77589.78,33770.09,52867.72,38826.92,43575.89,60783.68,37377.61,52835.36,23110.14,80441.38,35884.96,77821.77,70138.46,23138.16,88744.34,32112.08,50887.61,59216.97,70454.71,84821.13,29103.95
g,3,3,0,160.061172,13.467,0.446716,[M-H]-,,Aminoadipic acid,Aminoadipic acid,C6H11NO4,0.117,2.287938,160.061172,12726.30,2470.78,2267.03,1772.07,2426.93,3156.13,34597.82,20229.66,28505.05,4398.22,38612.23,26936.56,28680.97,42270.64,17415.98,31280.26,23297.91,50071.95,34761.05,31413.87,39246.60,30144.48,51246.61,18059.48,46632.94,38078.38,17592.98,52890.41,27690.99,35896.04,22071.84,57175.89,44317.30,17683.93,40082.52,20000.10,44321.92,21156.64,43509.39,33510.25,53148.39,69390.18,27942.58,63642.07,31679.13,48108.75,50900.18,39503.02,97174.12,23771.31,131394.73,58801.51,41239.18,90040.84,51908.86,77589.78,33770.09,52867.72,38826.92,43575.89,60783.68,37377.61,52835.36,23110.14,80441.38,35884.96,77821.77,70138.46,23138.16,88744.34,32112.08,50887.61,59216.97,70454.71,84821.13,29103.95
g,4,4,3,160.039932,3.612,0.784881,[M-H]-,,2-Indolecarboxylic acid,2-Indolecarboxylic acid,C9H7NO2,0.872,2.955644,160.039932,24952.78,3772.61,2113.32,4859.14,2131.11,3062.05,574980.88,423137.78,519721.91,114314.85,617297.75,582295.81,782665.44,814980.06,453195.34,644666.81,615897.75,781942.31,808192.69,483310.25,693907.94,601540.75,616165.94,363041.72,839180.44,759591.81,432888.22,810439.31,594186.69,601308.44,545427.62,861327.50,821124.44,403254.16,804774.50,550514.75,674083.19,411339.59,790160.81,776393.00,788268.94,803913.44,400173.97,549269.94,388771.78,548414.94,635153.56,527154.75,529457.19,251549.64,593347.12,366161.62,463943.09,648827.56,384340.12,583596.19,490942.91,461580.50,292301.00,605991.81,538243.06,258839.00,478052.00,222513.02,556538.56,401354.16,469989.09,534689.19,181826.23,462051.28,430745.50,403081.16,238985.77,535551.00,594903.00,230053.25
g,5,5,74,160.039993,4.183,0.852900,[M-H]-,,Indole-3-carboxylic acid,Indole-3-carboxylic acid,C9H7NO2,0.217,2.574270,160.039993,143594.58,101328.66,82138.10,85205.55,113799.37,60194.05,2194183.25,1248835.88,1415255.12,215598.70,1725746.62,1482611.62,2215439.00,2322235.75,1176397.38,1599821.88,1552076.50,2266186.50,2014851.50,1327495.62,2786911.75,1535674.50,1488495.88,612859.06,2054520.62,1564287.38,874572.81,2666667.25,1522874.00,1790402.88,1417627.62,2699646.25,2073132.12,763811.94,2508433.00,998688.75,1457795.38,853754.50,2271076.25,2265771.00,1904276.88,2498732.75,909510.19,1296553.38,701047.69,1079824.62,1279603.25,1238596.62,1421168.62,501230.41,1431775.88,864523.31,927989.69,1742483.62,736750.69,1496830.38,1020401.69,1037481.69,570622.44,1343184.50,1422020.00,547084.25,909205.31,440516.84,1239789.38,762203.81,933190.75,925818.31,319628.12,1060891.50,859934.00,926972.00,534272.31,1270869.00,1313215.00,530694.31
g,6,6,0,159.029343,11.749,0.554788,[M-H]-,,Oxoadipic acid,Oxoadipic acid,C6H8O5,0.651,3.454171,159.029343,8363.35,2177.69,1439.63,1962.95,1251.26,996.51,36008.52,37289.28,24688.53,4595.69,27887.90,26873.95,17518.67,35507.03,21205.80,27200.99,24118.11,36391.55,42555.16,22458.46,33011.72,27653.10,29915.05,11757.25,40927.90,38141.30,15552.53,41322.34,22663.12,33896.78,18248.81,46545.00,61628.39,15181.33,34810.74,28076.26,39686.58,18013.97,38447.58,31926.51,32303.76,71689.25,67546.19,122460.15,37757.05,94278.00,79305.43,54131.37,108902.12,69318.96,302187.75,57651.46,73108.60,216606.89,52830.36,116120.62,59058.88,91356.65,35352.57,55874.28,114074.13,35375.59,91634.02,36542.28,145306.94,35246.43,159997.72,237147.98,21528.75,105323.21,63996.96,78306.19,37540.22,140614.17,258273.38,32432.57
g,7,7,70,164.071289,8.848,0.822812,[M-H]-,,L-Phenylalanine,L-Phenylalanine,C9H11NO2,0.188,2.511020,164.071289,12083.67,1811.97,1736.16,1094.59,3485.12,1237.66,2384973.25,1121394.88,1618996.38,314887.59,2156200.75,1703268.38,1784356.12,2494327.75,987389.31,1688684.38,1495650.62,2402038.75,1980880.00,1629238.38,2474676.25,2275573.25,1708748.38,880237.31,2421292.75,2264569.25,967688.19,2758018.25,1743242.62,1876273.00,1353439.12,2449392.75,2360626.00,974493.50,1984469.00,1033251.56,1729066.88,1115682.88,2227234.75,1988564.38,2142716.75,2205415.50,1186476.12,1443300.00,977986.19,1441477.62,1644606.38,1258370.12,1709669.38,584369.94,1741646.88,1262839.88,1175487.00,1693502.00,1053927.75,1974082.88,1196501.12,1147944.62,1107852.38,1488918.38,1607786.50,901680.31,1614312.62,745024.19,1499741.62,1290028.62,1430748.12,1636780.12,603186.62,1962360.50,1128382.62,1066151.25,878307.44,1527150.38,1542114.38,707737.19
g,8,8,69,164.038177,13.116,0.848405,[M-H]-,,Methionine sulfoxide,Methionine sulfoxide,C5H11NO3S,0.136,3.162661,164.038177,391.06,0.00,0.00,342.96,0.00,281.02,82845.90,35781.20,48641.09,15354.41,78336.15,42536.43,52483.96,78805.62,37392.61,58404.34,67108.82,80287.60,72287.26,53247.11,82076.35,109280.21,58948.78,35940.54,85853.24,68840.18,33013.91,87744.31,69031.84,81211.23,56426.35,86710.15,80746.10,31421.56,62268.54,44915.34,70804.38,45500.34,74075.05,60501.86,51515.21,102190.20,61005.20,65440.05,42027.49,63315.97,75900.38,57141.54,107693.06,21242.40,89405.75,46149.71,55841.72,75318.98,52832.29,112113.66,50030.74,62495.79,66875.52,54313.95,73492.55,37625.21,101508.32,30593.93,88609.77,68676.04,86521.69,87488.69,35232.73,111150.16,54994.42,77570.24,35131.12,67052.82,74595.67,44129.84
g,9,9,70,163.060715,8.890,0.840881,[M-H]-,,L-Fucose,L-Fucose,C6H12O5,0.170,2.994466,163.060715,3042.75,1098.12,491.46,821.25,1041.43,1847.42,466843.50,337680.91,672459.88,161585.50,317446.78,662737.31,849793.19,368755.16,213570.39,499823.00,484453.62,242214.62,365065.12,578500.69,584499.44,422433.75,756584.56,477310.50,423946.09,761070.81,451832.50,316671.06,550032.56,609231.19,482483.38,289716.41,428572.22,402013.47,437813.16,329153.88,644162.44,567259.19,453906.34,694904.81,861105.75,1482244.12,905352.81,1205089.12,972855.69,1132187.88,1260151.75,1179160.50,1640877.50,645527.44,1455718.12,1258103.62,1123468.88,1333694.62,915216.44,1435744.38,1290019.50,1011883.31,1257449.62,1193507.75,1441972.88,1103537.12,1512484.38,960390.50,1473328.38,1267147.38,1241755.00,1356740.00,719905.19,1785624.38,1158360.62,1023127.75,1280835.88,1434049.00,1504126.00,807297.50
g,10,10,70,163.060715,8.890,0.840881,[M-H]-,,Fucose,Fucose,C6H12O5,0.320,2.994466,163.060715,3034.66,1078.50,432.02,820.22,1041.43,1787.10,466761.28,337706.72,672533.12,161585.50,317856.62,662927.94,850141.25,369078.16,213795.94,499865.97,484566.00,242352.83,365204.09,578524.50,584092.19,422488.16,756727.75,477467.50,423964.09,761021.69,451982.09,316958.50,550197.06,609417.94,482471.16,289640.75,428461.38,402159.38,437923.22,329233.53,644245.94,567259.19,454270.84,694942.25,861518.19,1482377.50,905482.81,1205165.50,972855.69,1132264.88,1260579.50,1179160.50,1641040.88,645653.94,1455857.62,1258103.62,1123325.38,1333845.12,915264.75,1435894.00,1290086.25,1012192.06,1257472.38,1193507.75,1442407.38,1103701.12,1512847.50,960789.31,1474064.38,1267152.12,1242267.62,1357127.88,720000.44,1786006.12,1158564.62,1023187.19,1280938.12,1434130.88,1504126.00,807243.00
g,11,11,70,163.060715,8.831,0.840197,[M-H]-,,Rhamnose,Rhamnose,C6H12O5,0.721,2.994466,163.060715,3109.42,729.09,521.58,820.22,1631.62,535.21,467045.22,338257.47,672906.00,161842.81,318512.78,663790.69,851016.00,369282.78,214264.11,500325.00,485215.28,243077.27,365863.59,579684.00,585219.19,424791.75,757657.44,477635.53,424444.66,761732.69,452702.78,317570.94,551024.56,610033.81,483053.16,290317.41,429051.16,402494.00,438409.28,329721.31,644700.81,568091.75,454521.66,695548.25,861643.81,1483085.62,905910.19,1205735.38,973829.19,1133419.12,1261090.00,1180169.00,1641938.38,646090.44,1456447.62,1258671.75,1124080.12,1334586.38,916105.00,1436480.88,1290984.25,1012495.56,1258293.88,1194451.75,1442718.00,1104523.38,1513448.50,961029.19,1474098.38,1267847.88,1242733.38,1357843.50,720679.00,1786555.00,1158918.00,1023960.00,1281602.38,1435063.38,1504854.38,807852.75
g,14,14,0,163.060623,11.042,0.469175,[M-H]-,,2-Deoxyglucose,2-Deoxyglucose,C6H12O5,0.708,3.555928,163.060623,4961.99,1369.25,1377.97,1011.93,1392.47,1813.39,18750.98,6139.15,8214.36,2443.57,14461.08,11756.91,9506.75,17210.03,7606.40,11055.03,9579.75,16826.71,10826.84,14168.69,17273.90,12326.77,20122.24,6598.86,18382.62,14021.01,9310.97,19427.16,12493.81,14436.53,10821.17,17376.99,18504.35,7732.88,14825.25,8695.21,13744.00,11965.39,16954.33,14701.09,31236.37,12456.36,8337.04,8954.03,7824.12,8482.47,10067.64,8619.80,17904.46,6795.01,16220.10,14411.67,9780.76,12135.17,11985.28,18407.66,13494.77,7810.97,10570.93,11382.45,11692.88,12163.73,17523.80,13041.75,14840.25,11256.24,13691.01,12938.28,10891.51,23829.65,10407.46,14530.62,14765.24,21764.06,15844.53,8049.17
g,15,15,0,151.039673,2.696,0.302093,[M-H]-,,4-Hydroxy-3-methylbenzoic acid,4-Hydroxy-3-methylbenzoic acid,C8H8O3,0.304,2.626644,151.039673,121719.21,139573.55,128373.93,127511.26,123823.34,113195.72,186875.08,135496.14,144049.44,141095.50,190304.00,195107.00,182012.92,164697.08,149485.92,176077.27,169084.14,184552.58,185056.88,175025.70,171978.83,260235.11,181161.23,138782.48,176879.05,184828.11,137616.59,173499.41,170020.94,151400.92,149728.27,225882.00,191602.36,132261.44,179169.23,175550.86,219920.44,148409.75,413521.38,177034.80,213362.75,173503.70,508214.59,116058.72,126287.81,121502.88,159778.61,140651.30,142745.77,178398.02,152921.86,142742.70,140553.25,145930.14,129531.69,151817.12,142673.52,133305.39,138290.31,147178.88,122503.84,148616.80,139376.84,166651.36,117976.73,131019.48,160749.52,158452.88,137585.69,168673.05,195565.14,157135.02,125019.48,135892.58,132002.97,105035.07
g,16,16,50,151.039688,2.696,0.788154,[M-H]-,,3-Hydroxyphenylacetic acid,3-Hydroxyphenylacetic acid,C8H8O3,0.164,2.525619,151.039688,114595.56,133328.94,123394.05,121075.00,119018.63,109777.28,181992.20,130785.52,136612.81,134549.14,181429.19,186864.83,176372.88,157195.50,148473.09,169850.67,161603.73,175535.64,176654.77,167359.27,163236.64,266867.53,172806.92,133854.61,169015.81,175141.44,132358.08,162929.08,168689.66,142500.77,142473.77,221037.62,184883.02,125267.59,172896.33,172669.42,213886.45,140305.11,406409.91,169880.88,206328.05,169291.75,515303.72,110057.00,122770.68,114566.60,153548.98,136724.27,136611.42,170937.81,147838.95,136549.75,134917.38,139880.06,122103.13,144061.45,137318.12,126292.79,132864.03,141075.45,117137.00,143150.42,132609.80,160486.05,112981.69,122891.77,156990.45,150246.80,131529.38,160056.83,202235.81,152492.50,118976.00,130757.66,124174.54,98122.21
g,20,20,0,150.055618,7.001,0.671996,[M-H]-,,2-Phenylglycine,2-Phenylglycine,C8H9NO2,-1.000,2.847244,150.055618,12107.21,157250.44,136578.86,157017.08,163174.33,270763.09,875354.94,431609.09,608844.56,294046.56,627375.44,556366.31,534877.75,547075.44,380042.03,552191.19,528711.00,590211.06,524075.59,481120.41,426613.09,258655.17,595743.75,399523.91,507183.72,483946.66,420904.75,486326.28,305166.66,456701.09,475500.78,455077.59,499314.00,390488.47,423573.78,259934.75,477433.38,481985.75,436477.03,478336.78,475426.66,540792.12,265251.91,423109.75,481380.59,438529.22,460577.38,405077.88,504516.88,287630.56,418248.66,428111.09,441912.50,390887.59,308449.03,504998.66,375536.97,350694.47,431597.22,401317.59,437038.50,462715.00,384478.50,303693.22,372181.91,323845.28,406627.91,344979.91,262571.28,436536.91,391257.72,285318.25,336320.59,358878.62,408950.59,247955.67
g,21,21,57,158.060501,3.446,0.813889,[M-H]-,,Indoleacetaldehyde,Indoleacetaldehyde,C10H9NO,0.796,4.054565,158.060501,14976.76,18870.70,5269.41,6465.58,2824.79,2124.73,41753612.00,31838582.00,41563092.00,6051269.50,60900592.00,44368284.00,58563652.00,80604072.00,37374612.00,50108864.00,67751656.00,104271968.00,83417800.00,76569096.00,95079640.00,61727952.00,68969176.00,38122948.00,79333800.00,87213064.00,34904112.00,73708640.00,50616156.00,61740060.00,52700932.00,104021672.00,88923008.00,36082504.00,82091720.00,41950132.00,81237152.00,46808404.00,104117944.00,86712920.00,94999464.00,71674696.00,34742316.00,51884460.00,31039666.00,53716692.00,59860528.00,50236884.00,43171676.00,19945614.00,49337204.00,35654124.00,45626236.00,54625008.00,23960280.00,53217824.00,42124144.00,44691196.00,26309022.00,58750496.00,54158916.00,23156698.00,55904516.00,16445032.00,55214068.00,36954716.00,50048592.00,54606748.00,15594965.00,65908148.00,38677644.00,39651188.00,24244402.00,63651904.00,58350704.00,19247426.00
g,22,22,76,149.060440,2.733,0.835548,[M-H]-,,2-Phenylpropionate,2-Phenylpropionate,C9H10O2,0.067,2.456789,149.060440,177837.94,211818.73,184252.05,186642.83,215244.67,174019.69,806032.06,639399.44,821712.19,327947.50,1453768.62,1072472.25,866984.00,1681053.00,643643.75,1068977.38,768662.06,1394613.38,847733.19,558803.50,1380661.88,586194.75,827910.19,377729.50,1639367.88,1208179.12,429774.34,1553538.50,806156.31,777493.00,822114.19,1679097.12,810728.56,562259.31,1647539.88,472741.25,1355774.62,430289.72,1261706.00,992776.00,798035.81,1140731.88,458139.16,755490.56,613654.06,955968.31,850454.94,851050.06,889283.81,505535.91,597882.56,498685.41,483518.03,563738.12,414708.16,829151.44,563986.94,577189.31,441579.75,669183.38,891306.81,489308.25,1214799.38,427552.66,859236.25,478782.16,930758.94,838421.31,438659.59,1128264.50,515226.22,495989.38,521586.91,950876.31,744423.44,264410.72
g,24,24,1,149.045074,11.718,0.710063,[M-H]-,,D-Ribose,D-Ribose,C5H10O5,1.118,3.173677,149.045074,2781.83,1806.70,2418.02,2052.03,2111.25,2215.42,465528.25,203837.80,217832.33,86830.30,398335.72,421978.00,327567.38,493563.97,163081.11,247632.30,374601.16,473514.97,463416.72,257050.73,415233.78,239493.67,201791.17,226751.30,456097.28,490559.72,161930.17,541604.25,264738.47,374665.88,381571.38,484425.25,538547.38,157611.25,379870.41,181450.55,352453.84,214627.45,388118.16,430527.84,255174.52,242071.39,138785.23,152743.14,157842.73,170319.45,188533.45,192756.20,251554.95,122704.06,263446.97,188104.12,172216.80,207063.02,163393.70,207719.95,195485.05,156940.05,168789.73,171554.56,197394.88,158946.73,181866.58,124440.24,184093.94,163724.34,140181.00,165017.48,98737.78,205554.80,173801.38,146891.27,163388.83,190465.17,186907.42,109842.41
g,25,25,0,149.045181,10.916,0.637903,[M-H]-,,D-Xylose,D-Xylose,C5H10O5,0.876,2.457041,149.045181,7681.95,16607.08,14584.01,14256.64,13942.17,18396.40,81234.31,46301.61,47178.34,31191.08,78827.15,47702.59,49704.44,92376.37,39262.81,45665.55,60449.96,85601.57,70808.66,48663.33,107739.31,55841.54,55241.29,42524.75,88163.84,80952.74,35216.10,100405.95,56770.32,84384.02,53914.36,104819.29,84436.97,41513.71,80304.90,46342.69,87702.03,50504.75,84890.90,73027.73,56401.26,69473.96,42500.92,55536.32,45315.93,50688.04,65302.59,46433.68,85454.39,35941.82,86041.62,40570.54,54876.67,64517.70,42255.07,75848.71,53564.75,95134.78,53414.69,60714.69,61625.25,44513.29,80416.93,47271.70,153803.67,49614.78,64832.66,74254.79,31775.51,95420.85,73049.91,72945.96,38750.34,75867.73,73972.31,41316.45
g,26,26,36,149.027344,4.210,0.837565,[M-H]-,,(�)-2-Hydroxy-4-(methylthio)butanoic acid,(�)-2-Hydroxy-4-(methylthio)butanoic acid,C5H10O3S ,0.130,2.969278,149.027344,2773.81,1218.70,2778.19,1618.24,1513.06,1617.72,33398.09,22053.47,25538.88,5601.53,57176.61,36956.01,30032.29,62021.00,23766.32,45271.65,43984.61,68135.13,54238.00,11580.78,37056.42,31002.66,45536.33,12796.64,80710.85,81218.28,4827.90,76027.41,43933.59,71055.60,48134.42,81845.09,82951.74,10375.15,36803.13,25276.92,53601.31,18372.08,35737.06,50075.91,34157.75,56940.72,20548.09,31407.65,21243.12,46169.11,59354.36,29515.76,79215.34,41352.54,87676.94,40631.24,48675.38,94156.80,56331.59,92317.51,50402.99,31820.22,44469.97,59956.11,75260.91,27106.37,73216.51,27121.59,77612.66,53870.79,93766.91,126431.81,36161.09,81750.73,52680.06,62173.31,39967.02,110361.94,99447.34,39933.98
g,27,27,0,148.043442,10.133,0.581153,[M-H]-,,L-Methionine,L-Methionine,C5H11NO2S,0.153,2.267528,148.043442,1561.11,296.43,667.21,298.20,323.57,321.47,498489.34,143229.42,185488.81,45015.94,390711.84,210410.25,239527.17,459767.34,124197.12,249722.67,342363.03,437478.84,387206.88,246258.92,508756.66,228802.58,225925.77,138725.39,456571.62,415908.53,134017.72,546131.25,263374.41,404858.09,305803.50,480711.66,440115.00,124324.09,355354.16,154093.20,347360.81,201757.25,384838.84,322935.03,265919.59,426471.97,139234.19,259332.95,153825.77,209630.52,274667.66,209956.05,460711.75,79701.52,389690.00,195334.23,210573.00,337725.06,231944.52,460481.38,183844.27,246498.88,276647.84,250584.62,289841.72,141063.64,361858.34,105360.23,389850.59,275869.16,287548.88,361849.75,116818.22,499935.66,204227.52,309244.72,145107.58,303473.50,331981.16,171956.41
