Group,Animal,AnimalID,Time,ID,MS ID,Order
blank,blank,blank,blank,blank,blank,1
blank,blank,blank,blank,blank,blank,2
toss,toss,toss,toss,toss_wt0_t6,toss,3
ob,4,ob_4,5,ob4_t5,o1_1,4
ob,4,ob_4,0,ob4_t0,o1_2,5
ob,4,ob_4,1,ob4_t1,o1_3,6
ob,4,ob_4,3,ob4_t3,o1_4,7
ob,4,ob_4,6,ob4_t6,o1_5,8
ob,4,ob_4,4,ob4_t4,o1_6,9
ob,4,ob_4,2,ob4_t2,o1_7,10
wt,4,wt_4,5,wt4_t5,w1_1,11
wt,4,wt_4,0,wt4_t0,w1_2,12
wt,4,wt_4,1,wt4_t1,w1_3,13
wt,4,wt_4,3,wt4_t3,w1_4,14
wt,4,wt_4,6,wt4_t6,w1_5,15
wt,4,wt_4,4,wt4_t4,w1_6,16
wt,4,wt_4,2,wt4_t2,w1_7,17
blank,blank,blank,blank,blank,blank,18
ob,3,ob_3,5,ob3_t5,o2_1,19
ob,3,ob_3,0,ob3_t0,o2_2,20
ob,3,ob_3,1,ob3_t1,o2_3,21
ob,3,ob_3,3,ob3_t3,o2_4,22
ob,3,ob_3,6,ob3_t6,o2_5,23
ob,3,ob_3,4,ob3_t4,o2_6,24
ob,3,ob_3,2,ob3_t2,o2_7,25
wt,3,wt_3,5,wt3_t5,w2_1,26
wt,3,wt_3,0,wt3_t0,w2_2,27
wt,3,wt_3,1,wt3_t1,w2_3,28
wt,3,wt_3,3,wt3_t3,w2_4,29
wt,3,wt_3,6,wt3_t6,w2_5,30
wt,3,wt_3,4,wt3_t4,w2_6,31
wt,3,wt_3,2,wt3_t2,w2_7,32
blank,blank,blank,blank,blank,blank,33
ob,1,ob_1,5,ob1_t5,o3_1,34
ob,1,ob_1,0,ob1_t0,o3_2,35
ob,1,ob_1,1,ob1_t1,o3_3,36
ob,1,ob_1,3,ob1_t3,o3_4,37
ob,1,ob_1,6,ob1_t6,o3_5,38
ob,1,ob_1,4,ob1_t4,o3_6,39
ob,1,ob_1,2,ob1_t2,o3_7,40
wt,1,wt_1,5,wt1_t5,w3_1,41
wt,1,wt_1,0,wt1_t0,w3_2,42
wt,1,wt_1,1,wt1_t1,w3_3,43
wt,1,wt_1,3,wt1_t3,w3_4,44
wt,1,wt_1,6,wt1_t6,w3_5,45
wt,1,wt_1,4,wt1_t4,w3_6,46
wt,1,wt_1,2,wt1_t2,w3_7,47
blank,blank,blank,blank,blank,blank,48
ob,0,ob_0,5,ob0_t5,o4_1,49
ob,0,ob_0,0,ob0_t0,o4_2,50
ob,0,ob_0,1,ob0_t1,o4_3,51
ob,0,ob_0,3,ob0_t3,o4_4,52
ob,0,ob_0,6,ob0_t6,o4_5,53
ob,0,ob_0,4,ob0_t4,o4_6,54
ob,0,ob_0,2,ob0_t2,o4_7,55
wt,0,wt_0,5,wt0_t5,w4_1,56
wt,0,wt_0,0,wt0_t0,w4_2,57
wt,0,wt_0,1,wt0_t1,w4_3,58
wt,0,wt_0,3,wt0_t3,w4_4,59
wt,0,wt_0,6,wt0_t6,w4_5,60
wt,0,wt_0,4,wt0_t4,w4_6,61
wt,0,wt_0,2,wt0_t2,w4_7,62
blank,blank,blank,blank,blank,blank,63
ob,2,ob_2,5,ob2_t5,o5_1,64
ob,2,ob_2,0,ob2_t0,o5_2,65
ob,2,ob_2,1,ob2_t1,o5_3,66
ob,2,ob_2,3,ob2_t3,o5_4,67
ob,2,ob_2,6,ob2_t6,o5_5,68
ob,2,ob_2,4,ob2_t4,o5_6,69
ob,2,ob_2,2,ob2_t2,o5_7,70
wt,2,wt_2,5,wt2_t5,w5_1,71
wt,2,wt_2,0,wt2_t0,w5_2,72
wt,2,wt_2,1,wt2_t1,w5_3,73
wt,2,wt_2,3,wt2_t3,w5_4,74
wt,2,wt_2,6,wt2_t6,w5_5,75
wt,2,wt_2,4,wt2_t4,w5_6,76
wt,2,wt_2,2,wt2_t2,w5_7,77
blank,blank,blank,blank,blank,blank,78
Y,4,Y_4,5,Y4_t5,y1_1,79
Y,4,Y_4,0,Y4_t0,y1_2,80
Y,4,Y_4,1,Y4_t1,y1_3,81
Y,4,Y_4,3,Y4_t3,y1_4,82
Y,4,Y_4,6,Y4_t6,y1_5,83
Y,4,Y_4,4,Y4_t4,y1_6,84
Y,4,Y_4,2,Y4_t2,y1_7,85
A,4,A_4,5,A4_t5,a1_1,86
A,4,A_4,0,A4_t0,a1_2,87
A,4,A_4,1,A4_t1,a1_3,88
A,4,A_4,3,A4_t3,a1_4,89
A,4,A_4,6,A4_t6,a1_5,90
A,4,A_4,4,A4_t4,a1_6,91
A,4,A_4,2,A4_t2,a1_7,92
blank,blank,blank,blank,blank,blank,93
Y,3,Y_3,5,Y3_t5,y2_1,94
Y,3,Y_3,0,Y3_t0,y2_2,95
Y,3,Y_3,1,Y3_t1,y2_3,96
Y,3,Y_3,3,Y3_t3,y2_4,97
Y,3,Y_3,6,Y3_t6,y2_5,98
