label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,A1T0,A3T0,A4T0,A5T0,A5T1,A6T0,blank,blank_20230307115508,blank_20230306132712,blank_20230306165253,blank_20230306201833,blank_20230307140540,blank_20230307143122,O1T0,O1T2,O2T0,O2T1,O2T2,O4T0,O5T0,W1T0,W2T0,W2T1,W3T0,W3T1,W4T0,W4T1,Y1T2,Y2T0,Y4T0,Y4T1,Y5T1
g,1,1,27,161.045242,12.348,0.772882,[M-H]-,,3-Hydroxymethylglutaric acid,3-Hydroxymethylglutaric acid,C6H10O5,0.158,1.894966,161.045242,24220206.00,41673716.00,31482646.00,24169742.00,32581056.00,37919440.00,1835462.50,3138891.75,1846491.50,2899306.00,2846366.25,2992464.00,2539429.00,44933364.00,41001592.00,29611034.00,15809139.00,44789536.00,31826270.00,47038924.00,35268732.00,63299076.00,75122176.00,57707236.00,48324532.00,21420922.00,72834840.00,36822924.00,52422220.00,40294976.00,38762780.00,28554182.00
g,3,3,0,161.045410,7.078,0.167577,[M-H]-,,Levoglucosan,Levoglucosan,C6H10O5,0.498,0.852735,161.045410,457789.59,1630659.50,931156.69,639605.19,725624.81,1154310.00,14263.45,26736.26,14602.89,19983.36,24128.31,27516.72,18500.04,1085644.50,954573.19,658707.06,87512.46,748117.81,881417.81,997127.75,666212.88,1788378.38,2048722.62,1545217.00,1075619.88,612534.00,1714451.50,1749276.00,2330408.25,1173822.88,1639409.50,804181.19
g,4,4,19,160.097717,12.539,0.826641,[M-H]-,,L-Carnitine,L-Carnitine,C7H15NO3,0.581,1.239018,160.097717,16035.92,26746.14,8955.40,9624.25,10862.07,15837.59,0.00,0.00,0.00,176.13,0.00,199.80,0.00,14629.78,15348.34,10073.18,10804.21,35041.70,10176.24,14565.12,25834.45,31259.91,23972.62,30728.85,21553.24,8664.56,23184.44,36775.34,80944.55,26780.46,46544.68,14272.07
g,5,5,1,160.076599,4.285,0.512765,[M-H]-,,Tryptophanol,Tryptophanol,C10H11NO,1.525,1.143860,160.076599,1379498.88,3882035.25,11304841.00,10389255.00,14349552.00,13675493.00,12328.27,13705.96,3776.96,5030.76,670.92,7905.52,2486.90,3004014.25,3554078.00,2230391.25,9785.93,893702.69,2304438.75,3091080.75,16074377.00,19695974.00,20690026.00,13463460.00,8189253.50,10290515.00,15163636.00,18764554.00,28410422.00,16846684.00,22782226.00,6795436.00
g,6,6,27,160.061386,10.800,0.827705,[M-H]-,,N-methyl-L-glutamic Acid,N-methyl-L-glutamic Acid,C6H11NO4,1.780,0.953308,160.061386,344582.28,511666.41,596285.94,310661.00,686076.56,606627.75,1782.37,2248.85,2319.65,2929.59,2064.68,2291.41,2580.65,390216.00,426591.28,256492.88,432983.28,766207.00,296227.50,386638.00,1058678.12,1563219.00,1575737.38,1233070.12,693757.81,566660.44,992889.94,1161640.62,2193251.50,1048337.69,1289655.62,474053.50
g,7,7,2,160.061295,13.441,0.688112,[M-H]-,,N-methyl-L-glutamic Acid,N-methyl-L-glutamic Acid,C6H11NO4,0.861,1.525292,160.061295,562976.44,137783.11,161406.58,244588.14,172898.92,362163.50,2280.33,6073.73,1752.51,3519.18,4036.92,2533.17,1748.39,481070.25,233604.17,287328.25,47464.38,146654.25,164103.62,444063.09,156046.75,341986.03,1751514.62,387317.62,803912.44,144166.88,1008314.81,425251.59,438527.75,303935.72,532529.50,219271.55
g,8,8,7,160.061295,13.441,0.631885,[M-H]-,,Aminoadipic acid,Aminoadipic acid,C6H11NO4,0.091,1.525292,160.061295,562976.44,137783.11,161406.58,244588.14,172898.92,362163.50,2280.33,6073.73,1752.51,3519.18,4036.92,2533.17,1748.39,481070.25,233604.17,287328.25,47464.38,146654.25,164103.62,444063.09,156046.75,341986.03,1751514.62,387317.62,803912.44,144166.88,1008314.81,425251.59,438527.75,303935.72,532529.50,219271.55
g,9,9,0,160.040237,2.435,0.382805,[M-H]-,,Indole-3-carboxylic acid,Indole-3-carboxylic acid,C9H7NO2,1.965,1.048777,160.040237,1950269.62,1267104.62,2218259.75,2441385.00,3633219.25,2089587.62,4279.12,6999.23,3138.51,7163.02,4191.53,13490.08,6437.91,1664368.62,2192860.75,1076814.88,1187118.12,4047952.00,1419436.62,1511254.00,519142.66,6239330.50,4563764.50,637841.06,325084.09,2459053.50,2960502.25,1922129.62,2992026.00,1858972.00,2655167.25,739815.94
g,10,10,30,160.040253,4.238,0.825343,[M-H]-,,Indole-3-carboxylic acid,Indole-3-carboxylic acid,C9H7NO2,0.162,0.953434,160.040253,1234116.88,2339923.25,1668398.62,2238860.75,1769247.12,2181567.25,61518.93,49540.43,45633.70,51632.81,41603.19,42540.74,50817.26,1681502.88,1431920.38,987041.19,3115124.75,3409053.25,1402162.38,1734365.38,3940808.75,4798415.50,5672562.50,4695098.50,2591292.00,1146311.50,4415484.50,3089608.75,6166016.00,4115438.75,4371635.00,1150816.00
g,13,13,10,159.077408,9.788,0.737600,[M-H]-,,D-Alanyl-D-alanine,D-Alanyl-D-alanine,C6H12N2O3,0.642,0.671443,159.077408,33798.62,62742.18,48000.48,98446.95,58348.12,72639.50,747.85,5062.57,421.42,1643.84,2813.43,4264.89,1352.37,49630.06,45309.69,43393.83,22636.13,71057.80,40812.49,50084.89,59110.54,47799.99,55187.30,19406.93,37955.41,30891.06,86952.88,86908.77,88167.88,60411.61,124600.60,32446.00
g,14,14,21,159.077332,11.020,0.732690,[M-H]-,,D-Alanyl-D-alanine,D-Alanyl-D-alanine,C6H12N2O3,0.590,1.151046,159.077332,99560.80,232184.14,190136.80,343399.97,225129.67,267637.97,944.78,3672.71,1132.13,1871.86,2614.35,3795.13,1350.02,120300.41,176123.94,118871.85,57145.59,430213.41,134590.08,144844.61,336559.78,595473.19,507702.75,210109.12,151668.95,122962.65,374878.66,368627.00,790698.81,328556.88,485200.50,136148.08
g,15,15,0,159.066116,10.986,0.410929,[M-H]-,,Pimelic acid,Pimelic acid,C7H12O4,1.364,1.055200,159.066116,842561.00,2183292.50,1950835.00,1424668.00,3245321.25,3379054.00,40523.56,55772.88,44730.02,45005.62,45605.28,50684.68,53175.04,3021348.00,2446263.25,1891326.50,1549090.38,2425069.75,2087994.00,2013098.00,3490251.00,1877441.38,1215450.62,4946639.50,2637810.75,120372.59,232895.12,2980880.25,4490863.50,2197752.00,3292347.75,3472662.00
g,16,16,18,159.066193,9.466,0.705056,[M-H]-,,3-Methyladipic acid,3-Methyladipic acid,C7H12O4,1.944,0.575563,159.066193,570647.44,2368942.25,1589619.50,1702764.38,2686132.75,3011457.00,25908.67,24403.88,24254.84,22994.55,22788.87,24649.41,20022.20,2391968.50,1670632.88,1147942.50,676740.12,1944173.50,1535566.62,1827555.62,1580134.00,1165899.12,1811177.88,3922601.25,2580622.75,82390.40,218839.75,3012254.00,6048795.50,1821563.38,3788721.00,1734261.62
g,17,17,7,159.066116,10.986,0.604268,[M-H]-,,3-Methyladipic acid,3-Methyladipic acid,C7H12O4,0.424,1.055200,159.066116,842561.00,2183292.50,1950835.00,1424668.00,3245321.25,3379054.00,40523.56,55772.88,44730.02,45005.62,45605.28,50684.68,53175.04,3021348.00,2446263.25,1891326.50,1549090.38,2425069.75,2087994.00,2013098.00,3490251.00,1877441.38,1215450.62,4946639.50,2637810.75,120372.59,232895.12,2980880.25,4490863.50,2197752.00,3292347.75,3472662.00
g,18,18,30,159.029602,11.712,0.827502,[M-H]-,,Oxoadipic acid,Oxoadipic acid,C6H8O5,0.688,1.823035,159.029602,83013432.00,61812336.00,63754736.00,60615456.00,75516600.00,62989388.00,1557.27,204917.23,2806.25,189388.88,238585.06,152289.95,74726.43,53087844.00,39600516.00,28046690.00,8880001.00,32265786.00,29363336.00,68230152.00,60820172.00,104065384.00,235722304.00,134214016.00,209586640.00,50378604.00,249642112.00,71036032.00,83168536.00,80035144.00,90836448.00,66542496.00
