label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,A1T0,A3T0,A4T0,A5T0,A5T1,A6T0,blank,blank_20230306201833,blank_20230307115508,blank_20230306165253,blank_20230307143122,blank_20230307140540,blank_20230306132712,O1T0,O1T2,O2T0,O2T1,O2T2,O4T0,O5T0,W1T0,W2T0,W2T1,W3T0,W3T1,W4T0,W4T1,Y1T2,Y2T0,Y4T0,Y4T1,Y5T1
g,1,1,8,163.059998,12.338,0.675337,[M+H]+,,2-Hydroxyadipic acid,2-Hydroxyadipic acid,C6H10O5,0.732,0.655044,163.059998,54181.20,133769.39,108070.47,118058.04,86300.26,128716.27,3901.10,9356.38,5904.88,10955.63,8411.24,10035.50,5291.40,132927.83,81448.90,99319.10,27113.18,98169.31,94459.80,134365.73,84884.37,154452.06,122185.91,162336.17,130425.06,67749.11,182993.98,76682.48,129419.31,102162.22,76840.34,58211.44
g,2,2,14,163.060059,13.742,0.809533,[M+H]+,,2-Hydroxyadipic acid,2-Hydroxyadipic acid,C6H10O5,0.672,0.280733,163.060059,196115.67,620796.81,248578.00,93925.10,309485.22,205490.08,240.29,386.96,304.96,830.63,387.94,535.65,312.52,239701.56,273000.72,122236.76,202056.23,367056.12,199611.62,342752.97,125287.51,280362.12,241098.23,386097.88,289342.81,93617.35,200295.58,280876.94,402439.75,325636.22,317475.75,126335.13
g,3,3,22,163.058685,10.896,0.852155,[M+H]+,,3-Hydroxymethylglutaric acid,3-Hydroxymethylglutaric acid,C6H10O5,1.294,8.702725,163.058685,74403.05,55004.34,163233.69,97513.71,304867.47,126420.47,622.60,780.62,325.71,297.75,275.68,684.73,405.04,165158.39,192364.62,80302.84,141875.58,445180.72,95271.74,162139.62,26400.12,792313.81,415754.34,24673.94,7874.48,114402.45,260015.83,99577.84,441524.66,177954.05,202445.20,62000.96
g,6,6,32,162.112045,13.085,0.836119,[M+H]+,,L-Carnitine,L-Carnitine,C7H15NO3,0.035,2.635492,162.112045,684010944.00,1034569408.00,1032513728.00,851935744.00,952135168.00,993431104.00,211055.70,411891.25,475473.53,303342.72,109142.22,266026.91,103132.20,1004237760.00,822475520.00,659981632.00,395959584.00,701513472.00,754528768.00,1161035904.00,642168832.00,804872000.00,908816192.00,859253952.00,774618560.00,488094080.00,836239168.00,1038773440.00,1138450688.00,1017395520.00,1046085376.00,708789056.00
g,7,7,0,162.091476,2.896,0.163071,[M+H]+,,Tryptophanol,Tryptophanol,C10H11NO,0.136,0.847233,162.091476,31914.84,81158.46,56485.79,57416.06,47464.00,83586.19,29365.17,24949.90,19828.16,25208.60,22854.10,27630.95,24315.28,126510.84,102187.59,90494.44,14823.19,57560.36,74423.21,79328.91,41371.59,68635.33,56184.82,61523.25,37787.52,31784.70,51488.14,58998.93,96696.15,52338.05,72732.16,41546.07
g,8,8,2,162.091385,4.266,0.614263,[M+H]+,,Tryptophanol,Tryptophanol,C10H11NO,1.506,0.282411,162.091385,77136.73,208575.67,163165.06,244360.81,225462.81,210243.14,29399.63,15008.86,17652.27,23069.37,25315.24,20893.54,20287.61,198488.92,177688.92,203925.61,84534.71,415802.62,164859.73,171709.83,254813.05,440750.84,281590.28,313797.41,147719.95,118307.46,256472.98,316823.53,692355.69,357219.09,495576.41,106426.38
g,9,9,0,162.075958,12.378,0.280980,[M+H]+,,Aminoadipic acid,Aminoadipic acid,C6H11NO4,0.972,0.753167,162.075958,312217.75,346395.41,215433.75,222430.14,367155.72,223404.58,2159.05,4714.95,4107.97,8395.50,4287.78,6847.74,4244.83,305536.22,249637.92,178548.17,559543.19,419383.59,264093.78,368108.53,523107.88,500567.16,791255.31,614246.44,483389.66,277322.16,418862.59,404975.25,822060.75,400391.50,408600.28,211376.08
g,10,10,32,162.075943,13.369,0.825936,[M+H]+,,Aminoadipic acid,Aminoadipic acid,C6H11NO4,0.019,0.847313,162.075943,1800855.12,542071.94,546158.25,598991.81,643100.00,943330.31,118551.65,125110.41,96547.41,133636.28,105124.34,123484.55,121031.71,1717018.50,924746.00,985401.81,551347.06,547961.88,646262.19,1408809.88,534019.50,816106.31,3753443.25,1136472.00,2344095.25,557394.25,2705683.00,1245465.38,904736.19,764615.19,1299662.38,738390.75
g,11,11,0,162.075928,12.522,0.213782,[M+H]+,,N-methyl-L-glutamic Acid,N-methyl-L-glutamic Acid,C6H11NO4,0.058,0.941458,162.075928,314621.88,392192.66,395329.41,456280.50,374387.16,340226.34,2159.05,4714.95,4107.97,8395.50,4287.78,6847.74,4244.83,328988.38,275080.62,226107.62,559543.19,508503.41,282916.53,383491.59,523107.88,500567.16,791255.31,614246.44,483389.66,277322.16,418862.59,404975.25,822060.75,492372.00,408600.28,211376.08
g,13,13,1,162.054932,2.402,0.561071,[M+H]+,,Indole-3-carboxylic acid,Indole-3-carboxylic acid,C9H7NO2,1.998,0.188316,162.054932,2937005.75,2023667.62,2920485.75,2965083.25,5795434.00,3297569.75,2537.55,1597.54,2194.92,9469.66,3518.15,3037.34,2749.38,2730037.00,3439312.75,1721904.62,1325566.38,6349884.00,2201135.25,2355932.75,664808.19,10223157.00,6758824.00,915755.44,622987.38,4305670.50,5544760.00,3194665.25,5104750.00,3695139.25,4335203.50,1018892.69
g,14,14,11,162.054962,4.328,0.829516,[M+H]+,,Indole-3-carboxylic acid,Indole-3-carboxylic acid,C9H7NO2,0.072,0.000000,162.054962,568977.19,827395.81,843693.81,572583.19,735744.69,773668.00,5363.61,4040.96,2791.47,1224.82,3953.55,2027.77,4760.93,579847.44,580452.81,282865.47,602507.31,853750.19,631674.50,545487.19,472750.72,4908377.50,2716182.75,752171.19,693978.75,1210075.75,5194389.50,1394793.12,4362733.50,946254.19,1926258.62,538037.81
g,19,19,2,161.092361,11.111,0.647373,[M+H]+,,D-Alanyl-D-alanine,D-Alanyl-D-alanine,C6H12N2O3,0.681,1.799698,161.092361,216292.27,487364.72,421040.84,704139.31,296514.62,467141.41,3097.73,5027.64,4562.72,3258.21,3769.00,4152.35,3766.96,289631.09,404005.41,272070.59,390410.84,452918.59,282345.72,362230.03,507112.34,541006.56,457682.47,225647.42,279910.00,220256.61,437552.28,574095.75,739375.06,559766.94,745118.06,259903.86
g,21,21,18,161.080658,10.910,0.852026,[M+H]+,,3-Methyladipic acid,3-Methyladipic acid,C7H12O4,0.500,1.136730,161.080658,16905.05,75301.48,56539.28,34139.79,50333.36,82044.77,2218.42,1162.58,410.50,1167.43,1123.89,1151.03,910.47,11493.56,24011.63,7322.14,14061.38,24898.75,21608.23,22297.74,61529.31,134724.95,230932.06,68742.81,63563.48,25576.35,95032.90,90274.44,207109.25,63039.34,192760.67,39301.82
g,22,22,0,161.080887,12.081,0.377010,[M+H]+,,3-Methyladipic acid,3-Methyladipic acid,C7H12O4,0.671,0.284183,161.080887,9583.45,86068.74,47523.94,43276.30,33644.86,68326.13,3802.19,5541.45,3093.62,5285.85,5400.08,4516.61,5463.49,42233.94,39361.02,28468.88,16126.71,62461.34,29235.97,67883.30,44398.68,48754.16,61201.32,85108.54,39277.92,31675.82,69268.99,22992.04,70600.77,54109.08,30404.16,11607.89
g,27,27,32,160.132935,13.562,0.836368,[M+H]+,,DL-2-Aminooctanoic acid,DL-2-Aminooctanoic acid,C8H17NO2,0.562,1.715186,160.132935,119456728.00,289648736.00,211641536.00,109716768.00,234285552.00,366744992.00,8349.56,26732.59,31322.67,10222.43,9699.49,14063.66,6290.02,76890328.00,44246004.00,30386986.00,13889256.00,53325740.00,46143104.00,81669608.00,44360460.00,102818592.00,149175696.00,92821920.00,53729932.00,17161714.00,82637352.00,186618944.00,366113120.00,158428976.00,221806656.00,54093676.00
g,28,28,24,160.110748,13.268,0.841838,[M+H]+,,Pargyline,Pargyline,C11H13N,0.232,8.291159,160.110748,197175.55,275803.41,269346.25,138992.02,259585.69,307201.00,223.38,734.03,0.00,0.00,596.44,0.00,272.60,472392.78,674045.19,251302.77,303347.91,625558.94,356841.75,520275.00,720792.19,792396.50,577798.31,760353.69,456892.97,426702.41,549489.31,371287.25,270737.91,236909.64,453186.12,226711.75
g,29,29,8,160.096664,5.736,0.764878,[M+H]+,,2-Methylbutyrylglycine,2-Methylbutyrylglycine,C7H13NO3,0.264,0.953098,160.096664,1673924.62,1834007.12,1570470.50,1365990.00,2031247.62,2856579.00,25043.29,25171.50,24783.01,24078.28,42850.71,29383.53,29810.90,3604336.25,2871107.25,2402401.00,222524.55,4096284.00,2782297.75,2718499.50,4895222.00,7620702.50,7136090.50,5936984.00,3187045.25,2824401.00,5887784.00,4534133.50,9515022.00,4732816.00,6095206.00,1443009.50
g,30,30,0,160.096848,7.049,0.226674,[M+H]+,,dehydrocarnitine,dehydrocarnitine,C7H13NO3,1.561,0.190620,160.096848,161594.20,624970.50,905896.94,423676.09,1180774.62,953070.44,2372.76,3373.64,1603.02,3180.68,3835.43,2358.00,2703.85,336707.88,393376.38,138805.20,13798.48,2041042.62,262701.28,470414.91,1129575.25,2652526.00,3372115.00,2001941.50,1062448.38,676564.44,1754665.38,1455956.88,3966458.75,2316197.75,1620925.88,495745.47
g,31,31,24,160.096558,9.954,0.787710,[M+H]+,,dehydrocarnitine,dehydrocarnitine,C7H13NO3,1.344,1.620266,160.096558,708140.00,2149086.75,1184970.75,1092245.62,1467841.00,1720416.12,528.83,708.29,336.26,149.80,843.61,397.76,317.36,1415878.00,1466495.62,669293.56,946367.00,2508344.25,1061212.12,1495534.12,1451878.62,2920344.75,2736133.25,2259980.00,1239361.50,741257.81,2007819.38,2197208.25,4290926.50,1701307.00,2732895.75,906186.00
g,35,35,5,168.029022,13.697,0.745415,[M+H]+,,Quinolinic acid,Quinolinic acid,C7H5NO4,0.397,0.635673,168.029022,59837.64,98882.50,56591.22,34667.43,47534.95,52802.19,409.22,1670.41,1613.92,1693.77,705.72,2367.78,1132.82,91033.91,56841.50,42258.16,35889.46,132166.30,36540.95,114519.55,14692.26,31679.51,63204.98,35527.59,70302.47,10617.50,43804.03,31732.66,86420.00,54815.19,56746.38,27468.05
g,37,37,0,166.086105,7.571,0.358360,[M+H]+,,L-Phenylalanine,L-Phenylalanine,C9H11NO2,1.089,0.918727,166.086105,223805.75,577957.75,401758.25,293661.91,472869.00,490134.66,74430.76,75874.99,74076.76,75301.22,71126.65,77510.26,74148.59,463530.59,442562.34,252897.58,197764.55,422998.38,311649.03,555194.56,492902.75,834183.94,842451.94,780054.81,505575.41,228036.31,799586.94,726677.00,1235190.00,650144.56,991602.94,372105.84
g,38,38,2,166.086136,9.247,0.590726,[M+H]+,,L-Phenylalanine,L-Phenylalanine,C9H11NO2,0.587,0.734981,166.086136,3167142.25,4404552.50,3538463.75,1755038.88,3392839.00,3944584.75,67714.06,14156.75,110525.59,58895.09,63931.68,38971.89,121908.21,3785421.75,3603065.00,1801723.38,1245393.62,3690372.75,2676803.25,3805565.00,3206388.25,6526158.50,7574630.50,5718177.50,4172670.00,1801144.62,5848708.50,6298005.50,6119798.50,3155479.75,5467522.50,3380299.25
g,39,39,0,166.052567,13.206,0.258067,[M+H]+,,Methionine sulfoxide,Methionine sulfoxide,C5H11NO3S,0.226,4.043201,166.052567,4752399.50,4602726.50,2553304.75,1696660.50,3101523.75,1898898.38,41069.48,56830.62,37589.89,123792.28,64059.89,96449.77,43154.33,3951996.75,4558325.50,2602389.00,2115149.00,3329092.25,3268774.00,3671502.25,2178205.75,3508002.25,3604767.25,3979750.00,3178665.25,2052863.00,3234598.75,3394162.25,4593600.50,3501787.75,4631848.00,4353206.00
g,40,40,8,165.075821,7.821,0.809476,[M+H]+,,Fucose,Fucose,C6H12O5,1.389,0.462175,165.075821,20532.50,79232.93,50094.92,22986.56,35308.45,64422.43,209.06,0.00,505.97,274.03,219.63,253.68,410.66,66270.00,48601.23,28650.10,4846.37,46835.36,31865.14,56850.00,58137.79,178408.52,193633.61,125759.07,61904.51,24778.45,115099.85,85651.30,294421.94,60673.11,97605.18,37861.45
g,43,43,20,165.076691,11.695,0.826911,[M+H]+,,2-Deoxyglucose,2-Deoxyglucose,C6H12O5,0.055,5.730975,165.076691,39420.43,193476.77,109845.95,84568.24,189117.23,130470.47,707.94,956.38,828.27,399.94,752.59,454.14,778.37,118928.98,169381.44,69749.41,78606.46,297724.47,106867.27,124534.77,167071.38,194281.50,373467.66,207945.31,162396.58,72693.72,298846.56,268376.78,237179.44,143259.62,333048.72,88390.91
g,44,44,22,165.075867,7.726,0.851017,[M+H]+,,L-Fucose,L-Fucose,C6H12O5,1.334,0.739481,165.075867,20532.50,79232.93,50094.92,22986.56,35308.45,64422.43,291.15,357.81,505.97,760.71,546.58,619.24,410.66,66270.00,48601.23,28650.10,6274.19,46835.36,31865.14,56850.00,58137.79,178408.52,193633.61,125759.07,61904.51,24778.45,115099.85,85651.30,294421.94,60673.11,97605.18,37861.45
g,46,46,5,165.054688,4.258,0.664860,[M+H]+,,m-Coumaric acid,m-Coumaric acid,C9H8O3,1.218,0.369788,165.054688,139594.94,299284.53,236090.02,221770.33,247345.58,299205.25,61665.71,57415.47,49850.46,47699.23,50979.54,55417.47,48468.56,271285.16,221576.94,186557.86,132690.36,149374.97,246944.62,331259.66,308445.09,456422.34,473783.91,382345.41,310396.22,240621.80,369812.88,404080.53,498500.59,300110.03,347160.50,186601.39
g,47,47,28,165.054718,4.258,0.815231,[M+H]+,,Phenylpyruvic acid,Phenylpyruvic acid,C9H8O3,0.228,0.554681,165.054718,125856.00,261741.12,213771.38,203445.98,223371.58,270872.62,62223.81,58077.93,50212.95,48561.39,51817.12,56226.27,48797.07,253811.88,200515.88,176292.05,132660.73,132589.80,231507.36,310505.50,283096.47,419549.28,429829.66,346778.28,288040.09,229054.12,335424.50,381013.47,464987.75,276498.53,317507.41,171655.08
g,49,49,9,164.091644,6.440,0.724352,[M+H]+,,6-Dimethylaminopurine,6-Dimethylaminopurine,C7H9N5,2.110,8.740931,164.091644,208175.55,201379.36,203679.92,144715.47,96307.07,149388.34,63445.68,58516.22,50227.02,63986.18,75343.69,70711.12,66175.38,133358.67,90139.97,172262.83,4102.46,92156.88,205566.20,109042.94,132148.30,116872.81,130991.90,130517.27,136799.89,168653.22,140458.92,141793.64,123389.21,102196.28,139359.45,98558.00
g,52,52,25,164.056580,8.674,0.842568,[M+H]+,,Pterin,Pterin,C6H5N5O,-1.000,0.651065,164.056580,130272.41,427408.62,320938.03,234028.44,465625.78,531107.81,0.00,185.49,0.00,0.00,315.81,0.00,0.00,287305.28,356882.66,185391.38,141786.45,614144.56,214448.58,516021.53,432947.91,705692.69,545706.69,807774.56,352505.97,168419.11,652096.31,398080.03,821933.44,654940.56,440291.88,222162.80
g,56,56,0,164.037643,7.048,0.430420,[M+H]+,,Acetylcysteine,Acetylcysteine,C5H9NO3S,0.028,0.279060,164.037643,392774.03,1368118.88,1359102.75,649008.31,1496683.50,1364081.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,568009.56,773199.69,328667.09,156073.02,2163682.75,473434.41,682775.44,2926182.00,4292615.00,4507242.00,3837449.00,1803159.00,1263467.75,2826323.25,2045073.88,3113195.75,1874804.62,2675984.00,806441.50
g,57,57,2,163.123001,4.232,0.514975,[M+H]+,,Nicotine,Nicotine,C10H14N2,0.478,0.187083,163.123001,85816.41,62007.71,116068.48,34938.68,96100.00,81517.49,7282.15,7573.79,7441.49,6221.24,6963.21,6149.30,5716.83,31192.73,45967.41,19056.58,18247.88,43645.20,25573.48,32535.19,107027.49,234785.67,254143.08,86181.73,168120.86,79881.94,156485.00,141053.11,119992.85,42647.10,139822.78,53314.14
g,61,61,9,165.075806,7.821,0.809476,[M+H]+,,Rhamnose,Rhamnose,C6H12O5,0.289,0.369740,165.075806,20532.50,79232.93,50094.92,22986.56,35308.45,64422.43,209.06,0.00,505.97,274.03,219.63,253.68,410.66,66270.00,48601.23,28650.10,4846.37,46835.36,31865.14,56850.00,58137.79,178408.52,193633.61,125759.07,61904.51,24778.45,115099.85,85651.30,294421.94,60673.11,97605.18,37861.45
